id,title,release_date,genres,poster_path,backdrop_path,vote_average,runtime,overview,tagline,original_language
1171462,Golden Kamuy,2024-01-19,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Comedy'}]",/5JpHgoFV7ZLr5jqVKhFdovreppG.jpg,/zU79dkIicO6nipT5Ypr1RmWbZN2.jpg,7.1,129,"Na kresach Hokkaido weteran i dziewczyna z ludu Ajnów walczą z wyrzutkami społecznymi i dezerterami o skarb, którego lokalizację wskazują tatuaże na ciałach skazańców.",,ja
5,Four Rooms,1995-12-09,[{'name': 'Comedy'}],/9U7bDaqHHOL2loFNk0cE3TjfTzH.jpg,/c1BaOxC8bo5ACFYkYYxL0bBWRaq.jpg,5.9,98,"Boy hotelowy Ted jest świadkiem czterech niezwykłych historii w pewną noc sylwestrową. W apartamencie dla nowożeńców trwa sabat czarownic, a w pokoju 404 dochodzi do gwałtownej kłótni małżeńskiej... o kochanka żony. Tymczasem w pokoju 309 pozostawione bez opieki dzieciaki stają na głowie, zaś w apartamencie na ostatnim piętrze hollywoodzki producent sprawdza skuteczność tricków mistrza Hitchcocka",,en
581644,The Misfits,2021-06-03,"[{'name': 'Action'}, {'name': 'Thriller'}]",/dPOyYnCkRbWAEem85N3VFpQODf5.jpg,/6FzuNrApEc71aJ3CwwkpadbNled.jpg,5.4,94,"Po brawurowej ucieczce z więzienia najsłynniejszy złodziej świata, Richard Pace, zawiera układ z tzw. Oddziałem Łotrów, którzy rabują bogatych i rozdają pieniądze biednym. Pod przywództwem doświadczonego złodzieja-dżentelmena, współcześni naśladowcy Robin Hooda biorą na cel największy na świecie skarbiec złota, należący do Warnera Scholza, człowieka, który dorobił się na praniu pieniędzy pochodzących od działających na światową skalę przestępców. Tak się składa, że jawi się on również wieloletnim wrogiem Pace. Członkowie szajki zaplanują piękny napad, zrealizowany ze smakiem - w iście dżentelmeńskim stylu.",Nie są złymi ludźmi. Po prostu okradają innych.,en
8195,Ronin,1998-09-25,"[{'name': 'Action'}, {'name': 'Thriller'}, {'name': 'Crime'}]",/bZtbyM5bCmAdky661Uz5pdnbJlZ.jpg,/frqahc6v8wt0p2Zo3XKBu2dg73z.jpg,7.0,122,"W świecie gdzie porzucono lojalność, a wierność i posłuszeństwo można kupić, pojawia się groźba nowego terroru - najemnicy i płatni zabójcy. Zimna wojna się skończyła, jednak nowy porządek świata sprzyja działalności tajnych grup płatnych zabójców - ich zdolności przetrwania, rozpoznania w terenie i ataku są legendą, a wynająć ich może każdy, kogo stać na zapłacenie niebotycznie wysokiej stawki. Tajemniczy klient zleca grupie najemników znanych jako ""Ronin"" kradzież poufnej teczki. To z pozoru błahe zadanie okazuje się śmiertelnie niebezpieczną misją. Pewna podziemna organizacja także próbuje zdobyć dokumenty oferując taką samą cenę. By wykonać robotę grupa wyrzutków pod dowództwem byłego agenta CIA znanego jako Sam (Robert De Niro) jest zmuszona dokonać czegoś, co jeszcze nigdy nie miało miejsca - zaufać sobie nawzajem.","Nie liczy się lojalność, zdrada jest sposobem na życie...",en
14,American Beauty,1999-09-15,[{'name': 'Drama'}],/d7o5PkPoBuzv8OHrFrYBMAKI2yg.jpg,/2ndw55F40IkALzWyjCCza3M6nqM.jpg,8.0,117,"Głównym bohaterem American Beauty i narratorem zarazem jest 42-letni Lester Burnham. Oto facet, który po dwudziestu latach letargu budzi się do prawdziwego życia. Impulsem do zmian staje się koleżanka córki, w typie lolitki, rozbudzająca jego zmysły. Pod jej wpływem przewartościowuje swoje życie – ćwiczy i powraca do formy fizycznej, rzuca pracę, staje się szczery i bezkompromisowy. Powraca do marzeń z młodości, które okazują się złudzeniami, bo czy palenie trawki, jeżdżenie sportowym wozem, albo beztroska „Mc-praca” uczyni go wolnym i młodym?",...spójrz uważniej,en
18,The Fifth Element,1997-05-02,"[{'name': 'Science Fiction'}, {'name': 'Action'}, {'name': 'Adventure'}]",/zL3pSAA0WfqfUMI7HdrBIMZoBu5.jpg,/jW21PoKwqs79wk6bfiYezox63mK.jpg,7.6,126,"W ciągu każdych 5000. lat Zło Absolutne nawiedza Wszechświat w celu zniszczenia wszystkiego, co żyje. Przed wiekami w obronie wszechświata stawali Mondoshawanowie - dobroczynni kosmici, którzy wynaleźli skuteczną broń przeciw Złu i ukryli ją na Ziemi, w egipskiej świątyni, gdzie przeleżała całe stulecia. Broń ta składa się z pięciu elementów, z których cztery są przechowywanymi w specjalnych pojemnikach żywiołami natury: ziemią, ogniem, wodą i powietrzem. Niech pozostanie tajemnicą, co (a może raczej, kto) jest tym piątym, najważniejszym elementem...",Bez tego nie ma przyszłości.,fr
11,Star Wars,1977-05-25,"[{'name': 'Adventure'}, {'name': 'Action'}, {'name': 'Science Fiction'}]",/shXRdVjx8fPJmwSNOfH7xa9GYT1.jpg,/yUiXA68FfQeA8cRBhd0Ao0jIRZt.jpg,8.2,121,"Rycerze Jedi zostali wytępieni, a Imperium żelazną ręka sprawuje rządy nad całą galaktyką. Mała grupa Rebeliantów podejmuje walkę kradnąc tajne plany najpotężniejszej broni Imperium - tzw. Gwiazdy Śmierci. Najbardziej zaufany sługa Imperatora - Darth Vader musi odzyskać plany i odnaleźć ukrytą bazę buntowników. Księżniczka Leia - wzięta do niewoli przywódczyni Rebeliantów, wysyła sygnał z wezwaniem pomocy, który zostaje przechwycony przez zwykłego chłopaka z farmy - Luke'a Skywalkera. Wychodząc naprzeciw swemu przeznaczeniu, Luke podejmuje wyzwanie i rusza na ratunek Księżniczce chcąc pomóc Rebeliantom w obaleniu Imperium. W misji pomagają mu niezwykli sojusznicy - mądry Obi-Wan Kenobi, nieco arogancki gwiezdny awanturnik Han Solo i jego lojalny towarzysz Chewbacca a także dwa droidy R2-D2 i C-3PO.","Dawno, dawno temu w odległej galaktyce...",en
8202,Æon Flux,2005-11-30,"[{'name': 'Science Fiction'}, {'name': 'Action'}, {'name': 'Thriller'}]",/5958Nt4QX6aRSUdQnvNw8wqjTJQ.jpg,/uTqxyztRGHSq96JYhByyNFuqqld.jpg,5.6,93,"Wytrenowana do mistrzostwa. Zabójczo skuteczna. Zdobywczyni Nagrody Akademii, Charlize Theron w roli Aeon Flux, bojowniczki podziemia walczącego w 25 stuleciu z totalitarnym rządem ostatniego miasta na powierzchni Ziemi. Aeon jest ostatnią nadzieją rebeliantów na obalenie sterylnie ""idealnego"" modelu społecznego. Ale gdy zostanie jej zlecone zabicie przywódcy rządu, Aeon znajdzie się w samym środku splątanej sieci intryg i odkryje sekrety, które odmienią losy świata.",Przyszłość to ona.,en
663558,New Gods: Nezha Reborn,2021-02-06,"[{'name': 'Animation'}, {'name': 'Fantasy'}, {'name': 'Action'}]",/vnfptwPP9d28GllW9MZBP0fw6Xo.jpg,/4PKfa0zltSrp1BJoLl8zfvYXaac.jpg,8.1,117,"Historia dzieje się po ponad 2000 latach, kiedy Nezha pokonał Smoczego Króla w powieści Fengshen Yanyi. Zwykły młody dostawca Li Yunxiang, choć pochodzi ze slumsów, prowadzi satysfakcjonujące życie i w wolnym czasie cieszy się wyścigami samochodowymi. Ale kiedy arogancki, bogaty syn Boss De (Smoczego Króla) bije go, odbiera mu ukochany silnik, a nawet rani jego niewinną sierotę, jego głęboki gniew zamienia się w wybuch Ognia Prawdy.",,zh
1318917,Chasing the Wind,2025-01-09,[{'name': 'Romance'}],/pg6sFi0pv8cPelkJGLZqmUxh24F.jpg,/qAJqYEz0utqsaPsMQvgjbUatUwv.jpg,6.6,96,"Dwie spadkobierczynie firmy; Ege Yazici i Asli Mansoy są przeciwko sobie w kwestii przyszłości firmy. Asli jest całkowicie dziewczyną z miasta, podczas gdy Ege należy do Çesme. Czy zdadzą sobie sprawę, jak bardzo są do siebie podobne, pomimo wszystkich różnic?",,tr
